"498","38.34741111","-78.22621111","2021-04-10 18:18:13","-130","-5.75"
"499","38.34741111","-78.22621111","2021-04-10 18:18:20","-128","-2.75"
"500","38.34741111","-78.22621111","2021-04-10 18:18:27","-126","-1"
"534","38.34741111","-78.22621111","2021-04-10 18:18:25","-128","-11.5"
"540","38.34741111","-78.22621111","2021-04-10 18:18:07","-130","-9.5"
"548","38.34741111","-78.22621111","2021-04-10 18:18:04","-127","-5"
"549","38.34741111","-78.22621111","2021-04-10 18:18:12","-130","-9.75"
"550","38.34741111","-78.22621111","2021-04-10 18:18:19","-126","1"
"551","38.34741111","-78.22621111","2021-04-10 18:18:26","-127","-0.25"
"554","38.34741111","-78.22621111","2021-04-10 18:18:48","-124","4"
"555","38.34741111","-78.22621111","2021-04-10 18:18:55","-126","1"
"557","38.34741111","-78.22621111","2021-04-10 18:18:10","-124","0.75"
"558","38.34741111","-78.22621111","2021-04-10 18:18:17","-127","-1.25"
"559","38.34741111","-78.22621111","2021-04-10 18:18:24","-123","5"
"560","38.34741111","-78.22621111","2021-04-10 18:18:31","-111","7.5"
"561","38.34741111","-78.22621111","2021-04-10 18:18:38","-113","7.25"
"562","38.34741111","-78.22621111","2021-04-10 18:18:45","-121","6"
"563","38.34741111","-78.22621111","2021-04-10 18:18:52","-129","-4.25"
"565","38.34741111","-78.22621111","2021-04-10 18:18:07","-128","-6.25"
"566","38.34741111","-78.22621111","2021-04-10 18:18:14","-129","-8.75"
"567","38.34741111","-78.22621111","2021-04-10 18:18:21","-128","-7.25"
"568","38.34741111","-78.22621111","2021-04-10 18:18:28","-120","6.25"
"569","38.34741111","-78.22621111","2021-04-10 18:18:35","-117","6.5"
"570","38.34741111","-78.22621111","2021-04-10 18:18:43","-123","2"
"571","38.34741111","-78.22621111","2021-04-10 18:18:50","-123","2"
"573","38.34741111","-78.22621111","2021-04-10 18:18:07","-119","5.5"
"574","38.34741111","-78.22621111","2021-04-10 18:18:14","-115","7"
"575","38.34741111","-78.22621111","2021-04-10 18:18:22","-117","6"
"576","38.34741111","-78.22621111","2021-04-10 18:18:29","-112","7.75"
"577","38.34741111","-78.22621111","2021-04-10 18:18:36","-106","7.5"
"578","38.34741111","-78.22621111","2021-04-10 18:18:43","-116","5.25"
"579","38.34741111","-78.22621111","2021-04-10 18:18:50","-115","5.5"
"580","38.34741111","-78.22621111","2021-04-10 18:18:57","-112","6.25"
"581","38.34741111","-78.22621111","2021-04-10 18:18:04","-112","5.75"
"582","38.34741111","-78.22621111","2021-04-10 18:18:11","-104","7.25"
"583","38.34741111","-78.22621111","2021-04-10 18:18:19","-115","5.5"
"584","38.34741111","-78.22621111","2021-04-10 18:18:26","-112","7"
"585","38.34741111","-78.22621111","2021-04-10 18:18:33","-118","4.75"
"586","38.34741111","-78.22621111","2021-04-10 18:18:40","-104","7.5"
"587","38.34741111","-78.22621111","2021-04-10 18:18:47","-113","6.25"
"588","38.34741111","-78.22621111","2021-04-10 18:18:57","-103","7.25"
"589","38.34741111","-78.22621111","2021-04-10 18:18:04","-87","7.5"
"591","38.34741111","-78.22621111","2021-04-10 18:18:17","-87","7.25"
"592","38.34741111","-78.22621111","2021-04-10 18:18:24","-88","7.75"
"593","38.34741111","-78.22621111","2021-04-10 18:18:31","-88","7.25"
"594","38.34741111","-78.22621111","2021-04-10 18:18:38","-91","7.5"
